Date,Adj Close,Close,High,Low,Open,Volume
2024-04-02,811.751220703125,867.0999755859375,898.0,859.4000244140625,897.2999877929688,3727555
2024-04-03,822.7044677734375,878.7999877929688,882.0999755859375,865.2000122070312,876.0,2110813
2024-04-04,805.6661376953125,860.5999755859375,874.2999877929688,859.0,871.7000122070312,2201258
2024-04-05,812.125732421875,867.5,870.0,848.7999877929688,856.5,2774059
2024-04-08,815.9639892578125,871.5999755859375,874.9000244140625,862.7999877929688,865.5,1598156
2024-04-09,802.9512939453125,857.7000122070312,877.9000244140625,856.4000244140625,875.0,1941371
2024-04-10,810.7214965820312,866.0,866.0,845.0999755859375,857.0,1540552
2024-04-11,813.810791015625,869.2999877929688,873.5,856.5,856.5999755859375,2276247
2024-04-12,823.827880859375,880.0,891.9000244140625,868.5999755859375,870.0,2064725
2024-04-15,823.0789184570312,879.2000122070312,888.0,876.0,879.0,1814697
2024-04-16,812.125732421875,867.5,872.0999755859375,854.7000122070312,862.0,1728440
2024-04-17,815.6832275390625,871.2999877929688,879.4000244140625,861.5999755859375,864.4000244140625,1469860
2024-04-18,807.6322021484375,862.7000122070312,877.0,858.0,874.9000244140625,2297372
2024-04-19,810.9087524414062,866.2000122070312,870.9000244140625,859.7000122070312,865.5999755859375,1938339
2024-04-22,819.4278564453125,875.2999877929688,876.2000122070312,850.7000122070312,853.2999877929688,2031467
2024-04-23,834.406494140625,891.2999877929688,891.2999877929688,872.4000244140625,872.5,1866809
2024-04-24,822.6109008789062,878.7000122070312,894.0999755859375,877.5,892.2999877929688,1877504
2024-04-25,811.4703979492188,866.7999877929688,876.0999755859375,853.2999877929688,876.0999755859375,2439212
2024-04-26,830.0065307617188,886.5999755859375,886.5999755859375,867.2999877929688,874.5,2082130
2024-04-29,828.3214111328125,884.7999877929688,895.0,879.7000122070312,886.5999755859375,1796260
2024-04-30,844.9852294921875,902.5999755859375,916.9000244140625,869.4000244140625,879.7000122070312,4324315
2024-05-01,840.3980712890625,897.7000122070312,899.2999877929688,872.0999755859375,889.0,1825314
2024-05-02,817.3682250976562,873.0999755859375,912.7999877929688,865.7000122070312,912.2000122070312,4750846
2024-05-03,796.3045043945312,850.5999755859375,859.7999877929688,826.7000122070312,859.7999877929688,5691985
2024-05-06,797.053466796875,851.4000244140625,858.5,839.2999877929688,850.9000244140625,1884622
2024-05-07,826.2618408203125,882.5999755859375,882.5999755859375,857.0999755859375,864.5,3009383
2024-05-08,826.8236083984375,883.2000122070312,894.5999755859375,881.5999755859375,890.4000244140625,2737386
2024-05-13,851.8193359375,909.9000244140625,909.9000244140625,891.0,900.0,4150454
2024-05-14,851.9129028320312,910.0,927.0,904.2999877929688,920.2000122070312,3118148
2024-05-15,858.5596923828125,917.0999755859375,924.0,908.5,919.4000244140625,2120196
2024-05-16,854.6278076171875,912.9000244140625,921.5,883.2000122070312,912.0,3350693
2024-05-17,845.6405639648438,903.2999877929688,919.0,901.0999755859375,911.0,2115015
2024-05-21,868.0149536132812,927.2000122070312,928.9000244140625,900.0,903.0,2713793
2024-05-22,864.0831298828125,923.0,928.5,902.4000244140625,927.5999755859375,3106321
2024-05-23,877.5639038085938,937.4000244140625,942.5999755859375,921.9000244140625,923.9000244140625,2332651
2024-05-24,869.5128784179688,928.7999877929688,940.7000122070312,922.7999877929688,937.4000244140625,1881910
2024-05-27,860.9937744140625,919.7000122070312,929.5,917.0,928.0,1129526
2024-05-28,857.2490844726562,915.7000122070312,925.2999877929688,911.5999755859375,920.4000244140625,2086109
2024-05-29,853.317138671875,911.5,915.0,906.4000244140625,908.5,2491659
2024-05-30,858.3724975585938,916.9000244140625,931.0,916.9000244140625,921.0,2131816
2024-05-31,868.1085815429688,927.2999877929688,931.5999755859375,908.7999877929688,913.5,5539486
2024-06-03,864.9256591796875,923.9000244140625,930.2000122070312,913.4000244140625,919.7000122070312,2360259
2024-06-04,876.4404907226562,936.2000122070312,939.5999755859375,923.4000244140625,928.5,2134460
2024-06-06,911.1723022460938,973.2999877929688,974.5,960.5999755859375,968.0,3883880
2024-06-07,921.1893310546875,984.0,990.9000244140625,969.0,973.2999877929688,2457442
2024-06-10,925.3084716796875,988.4000244140625,991.2999877929688,979.0,979.0,1957347
2024-06-11,919.3170166015625,982.0,997.4000244140625,979.2000122070312,992.0,2681156
